Date,SP500,cpi
2016-06-21,-1225.102314410351,2.0116556538727934
2016-06-22,-1226.5169435718585,2.0442314076961168
2016-06-23,-1225.5036275240127,2.0208969996278654
2016-06-24,-1230.6451129195416,2.1392939386196304
2016-06-27,-1238.6137035397965,2.322792804207552
2016-06-28,-1244.5428567955819,2.459327976885163
2016-06-29,-1247.735579030741,2.532849247610244
2016-06-30,-1247.5363433444413,2.5282612942113474
2016-07-01,-1245.8331603265992,2.368008711208546
2016-07-05,-1244.8884121781425,2.346253268901421
2016-07-06,-1242.8725194229087,2.299831755818275
2016-07-07,-1241.4507597577522,2.2670918024027173
2016-07-08,-1237.260446937562,2.1705982459375264
2016-07-11,-1233.410759497046,2.081948532096362
2016-07-12,-1228.8948145322365,1.977956393763435
2016-07-13,-1224.1117982094975,1.8678141978423355
2016-07-14,-1220.5106149230342,1.784886980303952
2016-07-15,-1211.6322574637866,1.5804382139292272
2016-07-18,-1199.753274235034,1.3068917299031
2016-07-19,-1190.6349727129118,1.0969175870295658
2016-07-20,-1183.3333369767197,0.9287772045732368
2016-07-21,-1178.5981769681994,0.8197370328103375
2016-07-22,-1173.450964505559,0.7012082122389813
2016-07-25,-1167.7431968257688,0.5697710555078288
2016-07-26,-1162.7838007831933,0.45556722810817973
2016-07-27,-1157.8793741244913,0.34262922299302545
2016-07-28,-1155.0115518061925,0.27658967256385836
2016-07-29,-1152.4093712582949,0.21666725951124022
2016-08-01,-1151.063775414922,0.6297988951524474
2016-08-02,-1150.7352840952462,0.6222344728614075
2016-08-03,-1150.7324249201888,0.6221686324381039
2016-08-04,-1150.5531860252954,0.6180411605363076
2016-08-05,-1149.412043931602,0.5917632037875649
2016-08-08,-1148.1902347465088,0.5636276638767015
2016-08-09,-1147.567544773849,0.5492885029081833
2016-08-10,-1146.8305924028687,0.5323181338038125
2016-08-11,-1146.0622239742484,0.5146243229752088
2016-08-12,-1144.9503709908959,0.48902082909924616
2016-08-15,-1143.4529129227017,0.4545377103303281
2016-08-16,-1142.626715935151,0.43551223679398277
2016-08-17,-1141.7583809834955,0.41551641994601596
2016-08-18,-1140.8000691875113,0.3934486370941954
2016-08-19,-1139.8695994803456,0.3720219954375352
2016-08-22,-1138.040808351413,0.3299090154202986
2016-08-23,-1136.3905413236098,0.2919070471990324
2016-08-24,-1135.591471631113,0.2735062547519931
2016-08-25,-1136.334142352208,0.29060830470294263
2016-08-26,-1137.1803361311645,0.31009425973635985
2016-08-29,-1137.2774609131366,0.31233082679844415
2016-08-30,-1137.2324637739748,0.31129464306351906
2016-08-31,-1138.292189114517,0.33569775361232246
2016-09-01,-1139.2195514166347,0.9882201192469608
2016-09-02,-1139.9457818811502,1.0049435867639716
2016-09-06,-1139.3509339973093,0.9912455669905853
2016-09-07,-1139.0695841980883,0.9847667087519199
2016-09-08,-1139.4780452493928,0.9941726555652508
